Angle,Angle_alpha,Polarization,Reflected/Transmitted,Volt_V,Volt_alpha_mV
0,0.5,p,t,4.641,10.56
0,0.5,s,t,4.547,10.59
5,0.5,p,t,2.939,21.18
5,0.5,s,t,2.08,10.59
10,0.5,p,t,4.222,19.44
10,0.5,s,t,4.09,23.81
15,0.5,p,t,4.596,14.58
15,0.5,s,t,4.551,17.35
15,0.5,p,r,0.147,15.98
15,0.5,s,r,0.177,15.43
20,0.5,p,t,4.407,14.53
20,0.5,s,t,4.215,18.64
20,0.5,p,r,0.063,17.00
20,0.5,s,r,0.069,16.09
25,0.5,p,t,4.454,14.58
25,0.5,s,t,4.059,21.04
25,0.5,p,r,0.132,17.17
25,0.5,s,r,0.196,12.74
30,0.5,p,t,4.094,24.3
30,0.5,s,t,3.578,23.81
30,0.5,p,r,0.119,12.37
30,0.5,s,r,0.227,14.71
35,0.5,p,t,3.524,24.18
35,0.5,s,t,3.034,14.53
35,0.5,p,r,0.122,12.2
35,0.5,s,r,0.296,16.73
38,0.5,p,t,4.222,19.44
38,0.5,s,t,3.597,10.59
38,0.5,p,r,0.126,17.1
38,0.5,s,r,0.302,12.6
40,0.5,p,t,4.379,24.3
40,0.5,s,t,3.815,23.81
40,0.5,p,r,0.097,12.68
40,0.5,s,r,0.308,18.2
42,0.5,p,t,4.026,10.59
42,0.5,s,t,3.479,24.2
42,0.5,p,r,0.090,12.97
42,0.5,s,r,0.318,14.97
44,0.5,p,t,3.896,22.27
44,0.5,s,t,3.365,14.58
44,0.5,p,r,0.083,19.2
44,0.5,s,r,0.328,14.21
46,0.5,p,t,3.507,14.58
46,0.5,s,t,2.987,14.58
46,0.5,p,r,0.078,19.21
46,0.5,s,r,0.345,19.49
48,0.5,p,t,3.254,20.98
48,0.5,s,t,2.75,14.58
48,0.5,p,r,0.061,11.54
48,0.5,s,r,0.365,15.83
50,0.5,p,t,3.268,10.59
50,0.5,s,t,2.798,14.53
50,0.5,p,r,0.066,17.19
50,0.5,s,r,0.387,18.75
55,0.5,p,t,3.018,21.04
55,0.5,s,t,2.383,23.18
55,0.5,p,r,0.051,15.32
55,0.5,s,r,0.470,11.81
60,0.5,p,t,2.376,19.44
60,0.5,s,t,1.761,19.44
60,0.5,p,r,0.060,20.46
60,0.5,s,r,0.601,12.58
65,0.5,p,t,1.848,11.04
65,0.5,s,t,1.327,15.43
65,0.5,p,r,0.103,20.03
65,0.5,s,r,0.788,18.94
70,0.5,p,t,1.476,15.51
70,0.5,s,t,0.992,22.7
70,0.5,p,r,0.216,9.98
70,0.5,s,r,1.007,14.17
75,0.5,p,t,1.027,15.27
75,0.5,s,t,0.645,20.31
75,0.5,p,r,0.459,14.71
75,0.5,s,r,1.263,20.77