Angle_small,Angle_big,Angle_alpha,Polarization,Reflected/Transmitted,Volt_V,Volt_alpha_mV
15,6,0.5,p,t,1.310,17.76
15,6,0.5,s,t,2.692,28.75
15,152,0.5,p,r,0.03051,17.61
15,152,0.5,s,r,0.06319,19.58
20,9,0.5,p,t,1.338,10.09
20,9,0.5,s,t,2.888,18.95
20,142,0.5,p,t,0.01982,3.180
20,142,0.5,s,t,0.07378,11.43
25,12,0.5,p,t,1.256,11.77
25,12,0.5,s,t,2.635,17.3
25,133,0.5,p,r,0.01958,8.428
25,133,0.5,p,r,0.08435,10.31
30,15,0.5,p,t,1.211,8.660
30,15,0.5,s,t,2.350,14.94
30,122,0.5,p,r,0.01166,6.745
30,122,0.5,s,r,0.1401,3.641
32,17,0.5,p,t,1.134,18.27
32,17,0.5,s,t,2.228,17.66
32,119,0.5,p,r,0.01719,17.74
32,119,0.5,s,r,0.17888,18.36
34,19,0.5,p,t,1.115,5.140
34,19,0.5,s,t,2.136,16.27
34,115,0.5,p,r,0.01483,14.09
34,115,0.5,s,r,0.2127,9.043
36,21,0.5,p,t,0.9541,3.014
36,21,0.5,s,t,1.635,11.66
36,110,0.5,p,r,0.00724,3.039
36,110,0.5,s,r,0.2034,10.55
38,24,0.5,p,t,0.8258,6.236
38,24,0.5,s,t,1.357,6.543
38,106,0.5,p,t,0.01687,11.54
38,106,0.5,s,t,0.279,10.75
40,28,0.5,p,t,0.6442,6.995
40,28,0.5,s,t,1.01,14.32
40,102,0.5,p,r,0.02422,6.014
40,102,0.5,s,r,0.2941,2.483
42,33,0.5,p,t,0.482,14.04
42,33,0.5,s,t,0.6959,7.332
42,98,0.5,p,r,0.9492,8.549
42,98,0.5,s,r,0.6084,9.045