Angle_small,Angle_big,Angle_alpha,Reflected/Transmitted,Volt_mV,Volt_alpha_mV
15,6,0.5,t,14.78,16.64
15,152,0.5,r,7.692,3.883
20,9,0.5,t,6.543,2.169
20,142,0.5,r,9.293,6.559
25,12,0.5,t,15.11,16.04
25,133,0.5,r,8.060,5.545
30,15,0.5,t,9.693,6.093
30,122,0.5,r,11.94,16.82
32,17,0.5,t,9.252,5.005
32,119,0.5,r,11.57,11.60
34,19,0.5,t,12.88,17.85
34,115,0.5,r,11.44,12.36
36,21,0.5,t,9.101,4.918
36,110,0.5,r,9.195,8.555
38,24,0.5,t,9.220,7.974
38,106,0.5,r,9.942,5.256
40,28,0.5,t,12.45,17.00
40,102,0.5,r,5.82,3.811
42,33,0.5,t,9.111,4.869
42,98,0.5,r,9.45,6.185